PM2.5,AQI
26,68
16,47
21,57
16,46
19,38
14,32
16,37
20,55
17,52
18,56
25,65
16,34
19,46
15,50
12,35
17,45
20,57
13,33
14,44
16,46
14,43
12,30
15,41
12,31
17,47
17,63
25,76
33,83
29,73
17,43
10,23
15,43
14,42
18,53
22,64
25,62
23,51
22,58
21,61
21,56
21,43
22,52
21,51
22,54
16,38
18,35
18,38
22,53
17,40
25,63
18,48
17,35
15,26
18,37
26,56
31,70
24,59
18,50
12,34
11,27
17,51
18,38
19,44
22,51
20,53
18,51
22,51
25,54
25,55
19,47
28,64
26,62
29,75
26,63
23,56
19,43
27,62
21,55
31,69
23,50
37,68
43,90
52,93
51,96
43,85
39,70
36,72
25,55
30,45
34,50
49,73
32,59
32,78
24,57
36,75
47,85
46,81
49,80
52,118
52,99
51,87
63,92
70,101
74,103
69,95
80,107
82,110
91,121
81,110
35,80
39,76
48,84
48,80
21,33
29,47
43,64
46,66
53,73
63,87
37,63
65,91
43,66
43,69
58,79
35,52
36,56
51,74
64,87
58,80
53,76
56,77
33,51
46,73
43,70
36,64
27,56
43,77
57,82
40,67
26,45
35,59
36,62
63,90
81,108
65,113
41,88
46,83
64,95
77,108
90,121
49,82
20,44
26,53
45,74
60,89
60,85
37,65
35,64
29,51
23,49
29,60
52,82
51,75
30,58
44,80
66,104
61,94
49,115
31,81
25,52
49,78
63,100
47,81
57,90
63,91
55,85
61,87
64,97
67,109
51,104
48,93
49,119
46,82
37,64
42,65
41,65
45,74
38,65
35,64
38,69
38,63
38,62
47,68
52,74
59,81
60,90
60,91
20,52
27,59
22,49
24,44
28,48
27,50
31,53
29,55
31,63
37,67
44,81
39,77
49,68
37,56
35,86
26,66
26,56
42,74
40,71
36,69
35,69
33,67
40,72
31,57
34,61
26,52
35,62
34,69
44,78
91,141
74,141
91,141
91,141
91,141
91,141
58,141
41,122
51,122
46,103
57,141
57,141
53,140
48,115
59,141
91,141
75,141
40,73
20,32
17,25
21,31
19,30
29,56
40,101
25,55
32,56
26,45
21,34
29,45
28,68
34,71
28,64
33,88
34,91
31,80
32,79
21,42
36,63
33,64
24,50
24,47
20,38
42,78
91,141
84,141
26,50
29,68
53,117
36,80
31,76
48,106
35,83
29,64
54,130
91,141
44,89
32,78
35,78
25,52
24,58
23,52
37,74
17,28
18,39
19,47
25,52
21,44
24,56
30,64
29,59
20,41
23,53
24,62
15,45
26,67
31,73
21,56
26,69
73,141
28,58
27,61
23,53
20,57
23,63
47,101
24,54
21,45
20,40
21,55
16,38
19,52
27,58
18,38
28,61
17,34
18,34
18,45
17,51
14,49
36,85
33,81
20,47
27,56
18,40
20,47
19,51
18,42
19,44
21,46
19,45
14,38
21,56
21,58
23,61
17,40
18,61
21,59
19,56
18,47
18,53
17,43
22,70
20,46
12,33
15,43
20,53
16,56
18,55
14,42
13,39
15,44
14,40
15,42
16,37
16,36
22,56
17,54
18,55
20,69
24,77
21,71
29,70
26,45
15,44
18,62
22,56
18,57
33,72
19,50
17,46
16,46
22,51
28,75
21,57
16,41
11,35
13,34
30,63
17,33
19,57
14,39
16,44
23,54
21,49
20,53
20,52
18,52
20,47
18,48
15,31
21,44
19,49
14,41
15,32
25,57
20,47
16,39
22,55
22,57
21,53
22,58
20,50
17,40
16,39
11,25
10,22
14,30
15,43
15,30
16,34
20,52
28,62
20,46
20,50
20,42
19,42
23,54
28,62
32,66
29,65
29,65
28,64
24,58
26,59
22,44
26,46
30,48
36,60
22,44
32,72
19,45
19,36
19,36
38,82
36,65
28,52
33,54
32,56
30,59
33,60
34,52
34,56
37,58
35,55
36,55
28,47
31,57
42,60
41,62
38,62
37,59
28,54
28,48
30,51
34,58
46,66
60,124
33,90
28,64
39,63
35,58
35,58
24,51
39,68
49,73
43,71
50,81
71,99
71,106
57,87
43,86
39,96
31,72
45,77
69,102
71,101
64,93
65,92
71,100
43,75
36,84
52,85
59,86
57,85
72,100
68,92
70,98
63,87
52,81
64,100
57,86
37,64
24,48
36,55
60,85
58,80
45,67
30,69
34,62
51,77
64,90
76,103
73,104
48,81
43,74
38,70
33,61
37,58
58,80
67,91
69,95
83,110
51,75
79,107
77,102
63,87
71,97
80,107
82,110
75,100
77,103
85,124
46,75
60,86
32,61
38,68
48,73
46,69
56,81
47,81
60,89
62,87
58,81
63,87
61,83
57,78
61,83
66,89
63,86
43,62
33,52
42,61
32,58
44,73
80,106
45,66
43,63
35,56
31,53
39,55
46,64
58,80
57,78
63,85
42,60
30,58
36,64
30,56
71,99
54,79
31,57
20,41
21,42
27,52
23,44
28,54
34,57
37,61
35,58
42,91
38,68
35,91
43,103
38,76
36,72
30,69
38,81
37,75
45,101
43,84
55,117
52,101
49,111
66,141
72,141
91,141
44,101
35,82
79,141
43,111
