PM2.5,PM10
62,128.0
73,129.0
91,135.0
78,113.0
38,92.0
56,110.0
41,98.0
60,169.0
53,131.0
35,97.0
53,115.0
56,114.0
77,140.0
71,127.0
61,134.0
60,128.0
91,214.5
32,111.0
51,130.0
53,119.0
78,147.0
62,127.0
47,98.0
71,139.0
39,115.0
32,75.0
43,90.0
35,75.0
34,51.0
47,78.0
39,98.0
50,203.0
53,138.0
53,118.0
60,104.0
49,93.0
32,76.0
57,119.0
47,136.0
34,80.0
35,65.0
47,80.0
53,187.0
42,128.0
46,115.0
47,108.0
55,120.0
57,132.0
49,115.0
44,109.0
58,214.5
66,214.5
89,214.5
72,214.5
73,214.5
71,214.5
61,214.5
43,141.0
34,101.0
32,103.0
44,123.0
61,214.5
58,195.0
52,154.0
44,183.0
68,214.5
63,214.5
56,194.0
52,163.0
66,214.5
91,214.5
78,214.5
78,214.5
50,214.5
43,142.0
48,149.0
74,214.5
91,214.5
64,214.5
64,182.0
44,137.0
47,133.0
52,124.0
48,120.0
46,129.0
47,142.0
49,102.0
64,148.0
45,127.0
36,104.0
33,70.0
23,35.0
40,75.0
35,96.0
43,109.0
40,104.0
39,117.0
28,54.0
37,97.0
39,136.0
38,116.0
51,166.0
31,84.0
27,59.0
28,74.0
26,65.0
41,120.0
25,44.0
35,80.0
43,132.0
55,182.0
42,113.0
44,129.0
75,214.5
46,142.0
55,174.0
63,150.0
32,77.0
38,89.0
22,59.0
23,73.0
28,76.0
58,214.5
68,214.5
57,195.0
41,136.0
30,100.0
31,95.0
25,82.0
31,79.0
35,130.0
34,82.0
26,69.0
34,95.0
39,110.0
37,83.0
24,45.0
23,54.0
24,62.0
27,72.0
31,95.0
27,82.0
29,89.0
27,60.0
28,63.0
38,104.0
36,75.0
35,77.0
29,70.0
27,59.0
32,87.0
26,71.0
31,92.0
30,60.0
27,66.0
18,45.0
19,45.0
22,62.0
20,55.0
21,41.0
21,40.0
30,54.0
19,38.0
24,60.0
23,52.0
28,58.0
24,38.0
28,45.0
19,44.0
29,68.0
34,87.0
26,82.0
20,53.0
73,214.5
37,96.0
27,86.0
19,43.0
27,50.0
24,40.0
22,52.0
28,69.0
19,35.0
32,68.0
27,79.0
30,69.0
31,65.0
20,45.0
27,81.0
20,53.0
21,48.0
18,49.0
19,38.0
15,30.0
27,58.0
31,80.0
32,92.0
20,38.0
20,38.0
23,54.0
24,44.0
29,68.0
31,77.0
30,51.0
27,54.0
28,59.0
21,51.0
22,58.0
34,81.0
39,86.0
28,71.0
